"text","label"
"Herman didn't like his first name. He had never liked it. He wanted to change it. He asked his mother. She said it was too late to change his name. She said he could use his middle name. She would call him by his middle name. She asked him if that was okay. Herman said yes. ""From now on,"" he said, ""please call me by my middle name. From now on, please call me Adam."" His mother said that was no problem. ""Goodbye, Herman,"" she said, ""and hello, Adam."" When Adam's father came home from work, Adam's mom said, ""Guess what? We have a new son.""","A1"
"Hello, is this Mr. Smith? I'm Mrs. Jones.
Hello, Mrs. Jones. Did you get my message?
Yes, I did, I'm returning your call.
Oh, right, of course.
What's the problem? Is James in trouble?
I caught him copying a classmate's test today.
Oh, that child is incorrigible!
I'm afraid I'll have to give him detention this time.
It's alright, I understand.
James certainly is strong-willed.
Yes, he needs a firm hand and discipline!
He's a good boy. Now if only he'd stop cheating!
","A1"
"Hello? I'd like to schedule an appointment.
Hello! What time would you like to come in?
Well, I only like Jane cutting my hair.
Jane comes in to work at 3 p.m. today.
That sounds perfect! Sign me up.
You'll be coming in for a haircut, yes?
I'd also like to redo my highlights.
That will be no problem. Can I have your name?
My name is Sarah.
Alright, Sarah, we'll be expecting you!
Alright, thank you!
See you soon!","A1"
"The mayor was in a hurry. He was late. He drove his car faster. He didn't want to miss his plane. The traffic light was red. He went through the red traffic light. I'm glad no police are around, he thought. He heard a siren. He saw a red light behind him. The red light was on top of a police car. The mayor didn't stop. He was in a hurry. He was late. He was the mayor. He drove his car faster. The police car followed the mayor. It followed the mayor to the airport. The mayor got out of his car. The policeman got out of his car. ""You're under arrest,"" he said. ""You can't arrest me. I'm the mayor,"" said the mayor.","A1"
"	
Good morning, Jennifer.
Hi Michelle. How are you?
I'm happy. How about you?
Me, too. Who is that?
That's my baby brother Paul.
He's cute. How old is he?
He is only three years old.
I wish I had a baby brother.","A1"
"Okay Laura. Let's go.
Just a second, mom.
Don't forget to put on your seatbelts.
Do I have to?
Yes. You have to. 
But we are only going to the store.
It's the law, Laura.
And to be safe, too. Right, mom?","A1"
"	
We are taking off, Margaret.
Wow. We are going super fast!
It's just on the takeoff. You'll see.
Wow! It's beautiful up here.
Yes it's awesome. 
I think I like this, Daniel.
I like the takeoff and the landings.
I can't wait to land.","A1"
"	
Hello Mary. How was school today?
It was great, mom. Thanks.
Do you have any homework?
Yes. I do, in math and English.
Have something to eat first.
Okay, mom.
You can do homework after dinner.
Sounds good, mom. Thank you.","A1"
"She was a nurse. It was flu season. But she didn't get a flu shot. All the other nurses got a flu shot. All the doctors got a flu shot. But she didn't get a flu shot. Flu shots made her sick. She got a flu shot when she was a little girl. The flu shot made her very sick. She spent a week in the hospital. Then she came home. She spent three weeks in bed. She was sick for about a month. After that, no more flu shots for her. She never got a flu shot again. She never got the flu, either. ""I never get a flu shot, but I never get the flu,"" she told her friend.","A1"
"	
Mommy. Can I have a cat?
A cat? Why do you want one, Margaret?
My friend Betty has one.
She has a cat?
Yes, and her cat is so cute.
You have to take care of it.
I know, mom. I'll feed it every day.
Okay, Margaret. You'll have a cat.","A1"
"	
Hey Joseph. Want to play?
Sure, Steven. What do you want to play?
How about Hide and Seek?
How do you play that?
I'll close my eyes and count to 10.
What do I do?
You hide. Then I'll go look for you.
That sounds like fun.","A1"
"Can I ask you a question?
Sure, go ahead.
How is your relationship with your parents?
It's good. I get along with my father more than I do with my mother.
If I may ask, why is that?
I'm not comfortable answering that. Why are you asking?
It's for a class project. Why don't you get along with your mother?
What class are you doing this for?
It's for my psychology class. Do you live with your dad or mom?
I live with my dad.
Do you think that's why you don't get along with your mom?
I said I'm not comfortable talking about that. Change the subject.","A1"
"She goes to the zoo. She sees a lion. The lion roars. She sees an elephant. The elephant has a long trunk. She sees a turtle. The turtle is slow. She sees a rabbit. The rabbit has soft fur. She sees a gorilla. The gorilla is eating a banana.","A1"
"It is winter. The sky is usually gray. The sun is not big. The sun is not warm. The sun is never high in the sky. It's always low in the sky. The shadows are long. In the morning they are long. In the afternoon they are long. The shadows are cold. The wind blows. The wind blows almost every day. Sometimes it is a strong wind. Paper blows everywhere. It is always a cold wind. People wear heavy jackets. People stand with their hands in their pockets. People blow on their hands to keep their hands warm. You can see people's warm breath. When they breathe, you can see their warm breath. Their breath is like steam from a teapot. Everyone is cold in the winter.","A1"
"My baseball game starts at 2 p.m. today. Will you be there?
Yes, I will definitely be there.
Great! I will tell my family to save you a seat.
What position will you be playing?
I will be playing first base, but the coach may switch me.
If he switches you, what position will you play?
I think he wants me to pitch.
You are a pitcher as well?
Yes, I am. I'm still training, but I can throw.
I didn't know that about you.
Well, hopefully you can see me pitch today.
Awesome! I can't wait.","A1"
"Let's play in the pool, Helen.
Okay, Linda. 
It's fun.
It's so hot today.
Not in the pool.
I know. I like it here.
We can do this every day.
Sure, we can, Linda.","A1"
"Anthony went to the book store. He wanted to buy a book. He wanted to buy a book about bugs. He liked bugs. He picked up bugs in his yard. He took them to school. He showed the bugs to his teacher. His teacher told him the name of each bug. Then Anthony took the bugs home. He showed them to his parents. His mom told him to take the bugs out of the house. His dad liked to see the bugs. He said Anthony did a good job. He gave Anthony money to buy a book. So Anthony took the money to the book store. He looked for a book with lots of pictures of bugs.","A1"
"May I turn in my homework tomorrow?
It's due today.
I know, but I don't have it right now.
How come? Your dog ate it?
No! I left it at home.
I can't take your word for it.
Why not? I'm an A+ student.
How do I know if you even did the homework?
I'll ask my mom to take a picture of it and send it to me.
That's fair enough.
Thanks. Also, you should try trusting students more. We're not all that bad.
I'll try, but I can't promise anything.","A1"
"Poster 1
FINAL EXAM INSTRUCTIONS
Doors close 5 minutes before the exam begins.
Show your student ID card to examiner when you enter the room.
No phones, no books.
Poster 2
BEFORE THE EXAM
Have your ID card ready.
Listen to the instructions.
Arrive 10 minutes before exam.
IN THE EXAM
Mobile phones switched off and put away.
ID card visible on the desk.
No talking. 
No food or drinks in exam room.
Poster 3
Follow the examiner's instructions.
If you have a question, raise your hand.
No mobile phones, books or bags in the exam.
Please use a blue or black pen.","A1"
"	
What's the teacher doing, Richard?
She is calling the roll, Jennifer.
What does it mean?
It is to check who is in class today.
What should I do?
When she calls your name, say ""here.""
What is that for?
So that she knows you are here today.","A1"
"She was a babysitter in her home. She took care of 10 little children. They were not her little children. They were the sons and daughters of other people. She did not have a son. She did not have a daughter. She was not a mother. She was a babysitter. The children were 1 to 4 years old. She babysat them all. She kept them in her house all day. They all stayed in her living room. She gave them toys to play with. She gave them books to look at. She gave them pillows and blankets. Some kids played with the toys. Some kids looked at the books. Some kids slept. She usually didn't watch the kids. She usually watched the TV.","A1"
"Susan didn't like the color of her hair. Her hair was changing color. It used to be all black. But now it was turning gray. She didn't like the gray hair. Gray hair made her look older. She didn't want to look older. She made an appointment with the beauty salon. A week later, she went to the beauty salon. The hairdresser colored Susan's hair. She added a little bit of purple color to Susan's hair. When the hairdresser finished, Susan looked at her hair. She liked it. She couldn't see any gray hair. All she could see was black hair with a little bit of purple tint. The purple tint looked nice. Susan hoped her boyfriend would like it.","A1"
"Miss, you have been using the computer for over an hour now.
I know, I'm sorry.
Are you looking for something?
I'm researching for my project.
Can you come back tomorrow? Your daily computer limit time is up.
I don't have a computer at home.
I'm sorry to hear that, but other people need to use the computer, too.
My project is due very soon. I need to research.
How about books? This is a library after all.
I looked for books on my project. They're not good at all.
Maybe you don't know how to look for good books. I'll help you.
Thank you. I appreciate it.","A1"
"This is my first boat ride, Patricia.
It's mine too, Sandra.
Is it safe?
I thinks so. Daddy goes all the time.
He told me we can row the boat.
Row the boat?
Yes. Take this oar and row.
Wow. This is fun. We are moving.","A1"
"Come and join our lunchtime yoga class with experienced yoga teacher Divya Bridge!
When? Every Tuesday at 1.30 p.m.
Where? Meeting Room 7
How much? £10 for four 30-minute classes.
What to bring? Comfortable clothes. Divya will provide the yoga mats.
How to join? Write to Sam at Sam.Holden@example.com
 
We can only take a maximum of 20 in the room, so book now!
","A1"
"She went to the circus with her parents. She was excited. She had never been to a circus. There were many clowns at the circus. She liked the clowns. They had funny faces. They had big, red noses. They wore funny hats. They wore big shoes. Their shoes were much bigger than her dad's shoes. They were twice as big as her dad's shoes. The clowns had loud horns. They honked their horns at each other. They didn't talk. They used their horns to talk. Honk, honk! She laughed at the clowns. They were so funny. They made her laugh. She told her dad, ""Daddy, guess what? When I grow up, I'm going to be a clown!""","A1"
"Hey, James. You want to play?
Not right now, Elizabeth.
Come on. It'll be fun.
What do you want to play?
How about playing tag?
That's boring. Let's play hide-and-seek.
Okay. Who goes first?
I'll hide first.","A1"
"Can I borrow your class notes from yesterday's lecture?
Heck no! You're so lazy.
What are you talking about? I was sick yesterday.
I don't care. Ask someone else.
You're so mean!
I can't let anyone borrow my class notes.
Why not? They're just notes.
I let a classmate borrow my notes once, and she sold copies to people.
That's crazy! For how much?
She sold each class note set for $5.
Don't worry, I promise not to sell your notes.
I can't take your word for it.","A1"
"	
Ms. Thomas. I'm not feeling well.
What is it, Elizabeth?
My head hurts.
You may have a headache.
Yes, I think I do.
Let's go see the school nurse.
Okay, Ms. Thomas.
I'll be back in class. Try to be quiet.","A1"
"Mike washed his hands. He washed his hands with soap and water. He brushed his teeth. He brushed his teeth with toothpaste and water. He turned off the water. The sink was full of water. The water did not go down the drain. The water stayed in the sink. What was the matter? Why didn't the water go down the drain? Mike waited and waited. The water didn't go anywhere. It sat in the sink. Mike opened a bottle of liquid Drain Opener. He poured the Drain Opener into the sink. Mike waited one minute. Then all the water went down the drain.","A1"
"Jason. It's time to feed the dog.
Already, mom? Okay.
We have to feed him twice a day.
What should I give him?
One can and one scoop of dry food.
Is that all?
Yes. That's plenty.
He really likes it, mom.","A1"
"Dear Sarah,
How are you? I’m fine. I’m having a wonderful time in France. My course is great and I’m enjoying learning French. Paris is a very old and interesting city. There are lots of beautiful old buildings to visit. I am staying with a French family. They are very nice and I feel very welcome
in their house. I usually have dinner with the family in the evening. They don’t speak English so I can practice my French. The other students in my class are friendly. They are from all
around the world. At the weekend we are planning to go out together to watch a film.
See you soon,
Mark
","A1"
"Andrew was in the third grade. He loved his teacher. His teacher was young. She was pretty. She was friendly. She helped Andrew add numbers. She helped Andrew draw dogs and cats. She helped Andrew learn to spell. Andrew gave his teacher an apple one day. He gave her an orange another day. He gave her a peach another day. His teacher thanked him. ""Thank you for the apple,"" she said the first day. ""Thank you for the orange,"" she said the second day. ""Thank you for the peach,"" she said the third day. Each day Andrew said, ""You're very welcome.""","A1"
"The cat was not moving. It was lying in the grass. The cat was black and white. It was a pretty black and white cat. It was cold outside. The cat was lying on its stomach. It was dark outside. The porch light shined on the cat. The cat looked at Sissy. ""Mom, can I have the cat?"" she asked her mom. Her mom came outside on the porch. She looked at the cat. ""That is a pretty cat,"" her mom said. ""Can I have it?"" Sissy asked. Her mom said no. Maybe the cat belonged to another family. Maybe the cat was wild. If it was wild, it might bite Sissy.","A1"
"I would like to reserve The Hunger Games.
Everyone wants to reserve that book these days.
It's really popular, because the movie just came out.
You have to pay $1 to reserve the book.
What?! That's ridiculous.
Like you said, it's popular.
I have to think about it then.
I personally think $1 is nothing. It's cheaper than buying the book.
How much is the book?
On the back, it says it's $15. It depends on the bookstore you go to though.
Fine, I'll give you a $1.
You won't regret it! The book is really good.","A1"
"I'm so frustrated. I can't find any books on my research topic at my library.
Why don't you try a different library?
I don't want to waste gas money.
But you might find your book.
What library do you suggest?
I suggest the one near my house.
That is way too far for me.
They have a lot of books. That library has never disappointed me.
I have an idea! Why don't you borrow them for me?
I don't know about that. What if you lose the books?
I won't. I swear on my life.
Wow, you're so serious.","A2"
"The big room is air-conditioned. But it smells. Dead bodies are in metal drawers. The bodies have no clothes. The bodies are naked. A white sheet covers each dead body. The drawers slide in. The drawers slide out. A doctor works in the big room with the dead bodies. He works there almost every day. He cuts the bodies open. He cuts them open with a knife. He cuts them open with a saw. He looks at the bodies. He looks inside the bodies. Why did these people die? Why did this young man die, he wonders. He tries to answer the question. Every dead body is a puzzle. The doctor tries to solve the puzzle. Then he tells the police why the people died.","A2"
"John had been saving his allowance for three weeks so that he could buy a telescope he had seen advertised in the newspaper. According to the advertisement, the telescope cost $94,99. John also did some odd jobs around the neighborhood where he lived. He mowed the neighbor's lawn and took another neighbor's dog for a walk. Finally he had 95 dollars.
 
One Saturday John walked to the store. He had brought with him the advertisement, which he had cut out from the newspaper. He asked a salesperson in the store where he could find the telescope advertised. He pulled out the newspaper ad and showed it to the salesperson to make sure they took him to the right one. The salesperson showed John where the telescopes were and together they looked for the one he wanted. It was called the Vega 600.
""I found it!"" John told the salesperson. The salesperson confirmed that the Vega 600 cost $94.99 and brought the box to the cash register so that John could pay for it. John was so excited. He felt like jumping up and down. He had worked so hard to get this.
""That will be $104.01,"" the salesperson told John. ""Did you advertise it as $94.99?"" John asked angrily. He thought the salesperson was trying to take advantage of him. ""Yes, it is, but we have to add sales tax. It's the law. In California the sales tax is 9.5 percent, ""the salesperson explained. ""Why don't you just put the final price on advertisements and price tags then?"" John asked. ""Then everything seems more expensive and people won't come into the store to buy,"" the salesperson explained. ""Everything is more expensive!"" John said angrily, walking out of the store without the telescope.
","A2"
"Steven was hungry. What could he eat? He looked in the refrigerator. He saw some orange cheese. He saw some yellow butter. He knew what he would eat. He would eat a melted cheese sandwich. He took the cheese and butter out of the refrigerator. He buttered two slices of bread. He sliced the cheese and put it between the two buttered slices. He heated the frying pan. He put the cheese sandwich into the frying pan. After three minutes, he flipped the sandwich over. After three more minutes, he put the melted cheese sandwich on a plate.","A2"
"David must have been the only kid in America that did not like summer vacation. Every year, between the beginning of June through the end of August, school kids were on vacation. Only to David, summer vacation meant work, work, and more work!  His dad was a workaholic. He had two jobs most of the time. He had one job during the day and the other at night, but sometimes he worked on weekends, too. The man had more energy than any persons alive. When he wasn't working on weekends at his third job, he worked at home and that was why David hated summer vacation.
 
His dad was always building something, or tearing something down. If he wasn't tearing down a wall, or adding a new room to the house, he was putting in a new driveway or garage. It was living hell for a 13-year-old kid. While all of David's friends were off playing baseball or riding their bicycles, he was usually hauling bricks or mixing cement. That's what he remembers about his childhood.
David always knew he was in trouble whenever he heard ""Where's David!"" His dad's voice seemed to carry down the street. That phrase could only mean it was time to get to work. Of course David learned throughout the years how to make himself disappear at just the right times, but his dad usually found him anyway. ""But dad, I want to go to the park to play with my friends,"" David would say. ""You can waste time with your buddies some other time. It's time to get to work now,"" his dad would respond. It got so bad that David would intentionally fail classes so he would have to go to summer school. Summer school was for students who didn't do well during the regular school year, but he didn't care. It meant less work. It meant freedom!
","A2"
"They walked onto the dock. They got into the boat. They had all their fishing gear. They were going fishing. They loved to go fishing. Sometimes they caught a lot of fish. Sometimes they caught a couple of fish. Sometimes they caught no fish. But fishing was fun even if they caught no fish. The boat left the dock. The boat stopped in the middle of the lake. Everyone put worms on their hooks. Some people put live worms on their hooks. Some people put dead worms on their hooks. Some people put rubber worms on their hooks. Everyone dropped their hooks into the water. Then they waited. They waited for the fish to bite the worms.","A2"
"Sandra was an eight-year-old girl. Her best friend used to be her neighbor, who had unfortunately moved to another state about a month ago. Sandra was upset about her friend's move. They still send emails and text messages to each other to keep in contact, but she already felt their friendship falling apart.
 
Recently, a new family had moved into the house where her friend used to live in. It was a family of four, a married couple with two children. One of the children was a five-year-old boy, and the other was a girl who was one year older than Sandra. Sandra's mother and father had gone over to introduce themselves as neighbors. Sandra's mother suggested Sandra head over and do the same. Sandra was not fond of the idea. Nonetheless, Sandra's mother insisted and forced her to introduce herself to their new neighbors.
When walking over, Sandra noticed the five-year-old boy of the neighbor's family playing in the mud in their front yard. Sandra approached him and said, ""Hi, I'm Sandra. We are neighbors. What is your name?"" The boy looked up at Sandra and yelled, ""I'm Benjamin!"" He then flung a mud ball at Sandra. She screamed in shock. Benjamin's older sister then ran out of her house to see what was going on, and noticed Sandra with mud all over her shirt.
Benjamin's sister apologized to Sandra and scolded Benjamin saying, ""Benjamin, apologize! Why did you do that?"" Benjamin replied yelling, ""Because she killed my men and stepped on castle!"" Sandra then noticed she was standing right on his toy soldiers. Sandra then apologized and Benjamin's sister began to laugh at her and said, ""Don't worry about it! I'm Jessica. What's your name?"" The two began talking. It was the beginning of a new friendship.","A2"
"Last week Chris went on her first deep sea fishing trip off the coast of Catalina Island. She had always enjoyed fishing when she was a child, but had never gone fishing in the ocean. Her dad liked to fish very often. Her big brother Jack was never the outdoor type, so her dad took her out often. One of his favorite spots was Lake Isabella, which was about two hours from their home. She recalls how she and her dad would spend a long, leisurely day driving to the lake, and then taking his small boat out on the water. It was quiet and peaceful for the most part. Those memories remain some of her most cherished moments of her life.
 
Chris has a friend called Robert. On this day, Robert invited Chris to join him on his company's fishing trip. Robert said it wouldn't cost much, but would be a lot of fun. He knew Chris enjoyed lake fishing and figured she would have a great time. ""Okay,"" said Chris, and to the ocean they went.
The first thing Chris noticed, however, was the motion. ""Wow, this boat really rocks,"" Chris told Robert. ""Don't worry about it. You will get used to it,"" he said. The trip to the waters off Catalina Island took about an hour. Chris marveled at how quickly she lost sight of the mainland. It was a bit scary when she thought about how alone they were in this great ocean.  Soon, it was time to collect squid for bait. The small boat stopped in the water, and the crew turned the bright light into the ocean to attract the squid. Before long, thousands of squid rose to the surface and were collected for bait.
After about an hour, Chris didn't feel the rocking motion anymore. They were ready to fish. Chris caught her first ocean trout. It was a beautiful day.","A2"
"""My dad's taking us to Santa Monica today,"" said Carol. ""Do you want to go with us?"" Laura loved to go to the beach, so she said she would be happy to. Santa Monica beach is one of the most beautiful beaches in California. There are more scenic views on the coastline up and down the state, but many are inaccessible to beachgoers. Santa Monica has a very large beach area that features white sand and lots of room to play. Carol liked to toss a Frisbee around with her friends and to play volleyball.
 
""Do you want to play volleyball, Laura,"" Carol asked when they got there. ""Sure,"" said Laura, ""but who are we going to play with? It takes more than two people to play."" Carol thought about it, and said that they should start playing and others will join in, so the two girls started playing alone. Just as Carol said, more kids came over and wanted to play with them. Soon they had more than enough people for a game, and they played for hours.
After the game, the girls wanted to cool off, so they decided to jump into the ocean for a little relief. The water was crowded, but that just added to the fun. It was cool and wet, and the waves were just right. Some people were surfing both on surfboards and body boards, while others were swimming out to the buoys. On the coastline, two girls were digging for sea shells and one man was using his metal detector to find hidden treasure. Carol ran up to the man and asked him what he was looking for. He said: ""Anything I can find, young lady.' Carol laughed and asked him if she could try. ""Sure. Why not?"" said the man. So Carol started scanning the beach and soon found a necklace, whcih the man let her keep. ""Why not,"" said the man. ""You found it."" Carol was very happy and ran to tell Laura.","A2"
"Hi, Fred!
It's been a while since we have been in touch. How has your semester been?
I wanted to send you an email update to you let you know how things have been going during my semester abroad here in Málaga, Spain. I've already been here for six weeks, and I feel like I am finally adapting to the culture. I'm also speaking the language more fluently.
I arrived during the first week of September. The weather has been very nice. Even though it's October, it's still rather sunny and warm. In fact, I went to the beach and swam in the Mediterranean Sea earlier today.
I am living with a very welcoming host family. I have my own private bedroom, but we eat breakfast, lunch, and dinner together. On Sundays, we eat a big home-cooked paella for lunch. In Spain, lunch is usually the biggest meal of the day. It's also very common for the people to take a midday nap right after a big meal. I am actually just waking up from my nap right now!
On weekdays, I take classes at the local university. There, I met several native Spanish speakers. They have been very kind and patient with me. At first, I struggled to comprehend their Spanish, but now I understand most of our conversations. They have commented that my Spanish has improved a lot since we first met. Now, I am more confident to use the language in other places like stores and restaurants.
I am so glad that I decided to spend the semester here in Spain. We have an extended weekend coming up, so a group of my friends and I are going to travel to France for four days. It's so easy and inexpensive to travel internationally in Europe. I love it!
I look forward to hearing from you soon. Like I said, don't hesitate to stay in touch more often. Perhaps you could even come to visit! What do you think?
Best wishes,
Patrick","A2"
"""You have to chop down those two trees,"" said the fire control agent. ""Why do I have to chop down those two trees?"" asked Diane. ""Because those two trees are a fire hazard,"" said the fire control agent. ""All trees are a fire hazard,"" said Diane. ""Yes, but those two trees are a super fire hazard,"" said the agent. ""Why are those two trees a super fire hazard?"" Diane asked. ""Because those two trees are right next to your house. Chop them down,"" he said. Diane was poor. She couldn't afford to pay someone to chop the trees down. The agent said, ""Chop them down, or I will fine you."" The next day, she poured gasoline on both trees. Then she set them on fire.","A2"
"The country is full of criminals. Criminals are in every city. Criminals are on every block. They break all the laws. They don't care about the laws. There are thousands of laws. The criminals break all the laws. They laugh when they break the laws. The police watch the criminals. They try to arrest the criminals. The criminals shoot at the police. They kill the police. Last week they shot down a police helicopter. The helicopter crashed to the ground. The criminals ran over to the helicopter. All the policemen on the helicopter were dead. The criminals stole the guns from the dead policemen. They walked away from the helicopter. They were laughing.
","A2"
"Do you have a favorite genre of music?
No, but I have favorite bands.
What bands would you consider your favorites?
The Beatles are the first. Edward Sharpe and the Magnetic Zeros are the second.
Is that all?
No, I really like The Clash. They are third.
I've only heard of The Beatles.
You should check out the other two bands. They are good.
Do you have any of their music that you could show me?
Sure, come over to my house after school, and I will show you their music.
Great! I've been looking for new music to listen to.
Don't worry; I will get you into a lot of new stuff.","A2"
"Robert Lee and his brothers were excited about the new ""Godzilla"" movie that was coming out. The day the movie came out, Robert and his brothers went to the theater early. Robert's brothers wanted to see another movie first, and then they wanted to sneak into ""Godzilla."" Robert didn't mind, because he liked going to the movies. When they got to the theater, Robert bought his brothers popcorn, soda, and some candy. When they got everything, they went to find their seats.
 
Robert's brothers didn't really like the first movie they watched, but they were excited to see ""Godzilla."" When they got out of the first movie, Robert went to get more soda and popcorn, because his brothers had finished all of it. Robert's brothers snuck into the theater, and they were waiting for Robert to come back with the snacks. When Robert tried to go back in to see ""Godzilla"", a security guard asked him for his ticket. Robert didn't have one for ""Godzilla,"" so the security guard had to kick him out.
Robert had to go outside and buy another ticket for ""Godzilla."" He felt embarrassed, because he had to stand in the line with the popcorn and soda. The people in line and the people who worked in the ticket booth looked at Robert and found him funny. Robert knew that they were looking at him, because they knew he got kicked out for trying to sneak into another movie. His face turned red. He thought about calling his brothers to get out, so that they could go home. Robert thought about how his brothers wanted to see the movie too, and so he bought the ticket and went back in. The security guard looked at him again, and asked him for his ticket. Robert showed it to him, and went into the theater. The security guard laughed.","A2"
"You know you can't park here, right?
Listen, I had to talk to my friend really quickly, and there was no parking spaces.
I'm going to have to give you a ticket.
I'm a broke college student.
And I'm a broke police officer. Deal with it.
Can't you just let me off with a warning?
No way. I have to be firm with you.
I'll buy you a box of donuts.
You have got to be kidding me.
I thought all cops liked donuts.
That's a stereotype. You should really learn to be quiet.
I'll stay quiet if you let me off with a warning.","A2"
